NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Greenwich Village,Manhattan,593,"48, 47",Yes,45436,1225000,1612,39.92,Interior,R6,,,,,,2.2,3546,1382
Ocean Hill,Brooklyn,1553,18,No,45435,11500000,15000,250,Corner,M1-4/R7D,,,,"EC-5, MX-16 ",MIH,5.6,83976,137
Sheepshead Bay,Brooklyn,7367,"11, 10",Yes,45435,24371125,36000,360,Interior,R6A,,C2-4,,,MIH,3.6,129600,188
Bedford-Stuyvesant,Brooklyn,1589,32,No,45435,3620000,8500,85,Interior,R6B,,,,,,2,17000,213
Morris Heights,The Bronx,2876,90,No,45434,2000000,5648,56.27,Interior,R7-1,,,,,,4,22451,89
Rosedale,Queens,13204,97,No,45429,2850000,20295,349.03,Corner,R2,,C1-3,,,,0.5,10148,281
Theatre District - Times Square,Manhattan,1025,51,No,45427,21000000,5020,50,Interior,C6-7 ,,,,MID,,15,75300,279
Brownsville,Brooklyn,3603,42,No,45422,6000000,14000,140,Interior,M1-4/R6A ,,,,MX-19,MIH,3.6,41323,145
Unionport,The Bronx,3672,20,No,45421,4250000,32131,531.28,Corner,R8 ,,C2-4,,,MIH,7.2,231343,50
Mott Haven,The Bronx,2600,"51, 50, 49",Yes,45421,4000000,11909,273.05,Corner,R7X ,,,,,MIH,6,71454,59
Mott Haven,The Bronx,2579,28,No,45421,4250000,5075,50,Interior,R7-1,,,,,,3.44,36004,111
Williamsburg,Brooklyn,2228,25,No,45421,11671489,6216,137.42,Corner,C8-2,,,,,,2,12432,342
East New York,Brooklyn,3967,"38, 37",Yes,45419,2500000,5000,150,Corner,R6A,,C2-4,,,MIH,3.6,13857,123
Bushwick,Brooklyn,3165,"21, 22",Yes,45419,1700000,5000,50,Interior,R6,,,,,,2.2,11000,227
Sheepshead Bay,Brooklyn,7462,45,No,45419,8000000,9736,203.23,Corner,C4-2,,,,,,3.4,33102,242
Fordham,The Bronx,3022,54,No,45415,3594000,11607,143.1,Through,R7-1,,,,,,3.44,55817,64
Mott Haven,The Bronx,2333,33,No,45415,15000000,21229,285,Corner,M1-4/R7A ,,,,MX-13,VIH,3.45,97518,154
Ozone Park,Queens,11562,"157, 156, 155, 154, 153, 152",Yes,45412,2535000,21148,361.69,Interior,R3X,,,,,,0.5,10574,284
Williamsburg,Brooklyn,2387,29,No,45412,3000000,1781,18.75,Interior,M1-2/R6A ,,,,MX-8,VIH,2.7,4809,527
