NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Little Neck,Queens,8164,"22, 122",Yes ,44882,1828000,19250,300.84,Corner,R1-2,,,,,,0.5,9325,196
Old Astoria,Queens,531,11,No,44882,2600000,3423,25.02,Interior ,R7A,R5B,C2-3,,,,4.00/1.35,11006,236
Crown Heights,Brooklyn,1390,16,No,44881,2150000,4000,,Interior,R6,,,,,,2.2,8787,245
Borough Park,Brooklyn,5531,29,No,44881,1300000,4000,40,Interior,M1-1,,,,,,1,4007,324
Wakefield,The Bronx,4831,11,No,44879,1000000,5625,165,Corner,R6,,C2-4,,,,3,16875,59
Kingsbridge Heights,The Bronx,3261,12,No,44876,1525000,10610,150,Through,R4A,R6,,,,,3.00/0.75,20247,75
Bay Ridge,Brooklyn,5936,9,Yes,44875,2300000,12545,61.24,Interior,R4A,,,,,,0.75,25800,109
College Point,Queens,4064,1,No,44875,2810000,10000,200,Corner,R4-1,,,,,,0.75,7500,307
Fort Greene,Brooklyn,2034,135,No,44874,8850000,24000,174.83,Interior,R6,,,,,,2.2,52800,168
Gowanus,Brooklyn,433,14,No,44873,5600000,6400,64,Interior,M1-4/R6A,,,,G,MIH,3.6,23040,243
Long Island City,Queens,408,1,No,44872,10370000,10020,200.21,Corner,R6A,,M1-2,,LIC,,3,37567,276
College Point,Queens,4319,"1, 58",Yes ,44868,3375000,33320,365,Corner,M2-1,,,,CP,,2,65520,52
Crown Heights,Brooklyn,1192,"41, 46",Yes,44867,42350000,64713,,Corner,R6A,,,,,,3,194139,218
Corona,Queens,1768,40,No,44867,1320000,2592,25,Interior ,R6B,,,,,,2,5188,254
East New York,Brooklyn,3978,"13, 14, 15",Yes,44866,2000000,12500,,Corner,M1-4/R6A,R5B,,,,MIH,3.6,45000,44
Manhattanville,Manhattan,1984,28,No,44866,27523850,12490,99,Interior ,R7-2,,C1-4,,,,4.00/3.44,387028,71
Jamaica,Queens,9795,"65, 85, 30, 89, 130, 94, 98, 99",Yes ,44865,51450000,111800,1246.93,Corner,C4-5X,,,,DJ,VIH,3.75,419250,123
Maspeth,Queens,2803,"75, 76, 78",Yes,44862,1600000,9642,85.67,Interior ,M1-1 ,,,,,,1,9642,280
Williamsburg,Brooklyn,2404,32,No,44862,2700000,1269,25,Corner ,R6,,,,,VIH,2.2,2792,573
East Village,Manhattan,400,23,No,44861,1675000,1859,19.33,Interior ,R7B,,,,,,3,5577,300
Flatbush,Brooklyn,5136,66,No,44859,1000000,5844,33.33,Interior,R6,,,,,,2.2,12809,78
Mill Basin,Brooklyn,8470,1140,No,44859,40500000,23500,372,Corner,R3-1,,,,,,0.5,117500,345
Clinton Hill,Brooklyn,213,40,No,44855,2500000,2500,25,Interior,R7A,,C2-4,,,VIH,3.45,8820,283
Flushing,Queens,4970,"1, 53",Yes,44854,14169860,29820,489.27,Corner,C4-2,,,,,,3.4,101388,140
Bayside,Queens,"4175, 4179","17, 19, 22, 25",Yes,44854,4730000,17497,275,Corner,R3X,,,,,,0.5,8749,541
Morrisania,The Bronx,2368,"35, 37",Yes,44853,6700000,4848,25.92,Interior,M1-1/R7-2  ,,,,MX-7,,4.00/3.44,49777,76
East New York,Brooklyn,3989,"1, 34, 36",Yes,44853,3780000,14500,,Corner,M1-1/R6A,,,,MX-16,MIH,3.6,52200,78
Flatbush,Brooklyn,5065,88,No,44853,4066307,8400,42,Interior,R7-1,,,,,,3.44,48139,139
Dyker Heights,Brooklyn,6309,7,No,44853,2550000,8400,,Corner,R5B,,,,,,1.35,11340,225
Williamsburg,Brooklyn,2317,18,No,44848,3000000,2500,25,Interior,M1-2/R6B,,,,MX-8,VIH,2,5509,545
Eastchester,The Bronx,5285,"2, 3",Yes,44847,14500000,173844,148.49,Corner,M1-1,,,,,,1,173844,83
Lower East Side,Manhattan,397,7503,No,44845,36800000,33650,544,Interior ,R8A,,C2-5,,,VIH,5.4,167625,220
Bedford Park,The Bronx,3315,31,No,44833,1375000,2375,25,Interior,R8,,,,,,6.02,8667,159
Corona,Queens,1737,56,No,44832,1130000,3970,35.9,Interior ,R6A, R5A,C1-2,,,,3,11910,158
Corona,Queens,1999,69,No,44832,1880000,2500,25,Interior ,R6B,,,,,,2,5000,226
Corona,Queens,1754,20,No,44826,1125000,2000,20,Interior ,R5,,,,,,1.25,5000,225
West Bronx,The Bronx,2526,40,No,44823,2000000,5380,224.42,Corner,R7-1,,,,,,3.44,18508,108
Far Rockaway,Queens,15620,1,No,44818,2700000,18037,739.62,Corner,R5,,C1-3,,,,1.25,34745,78
Gowanus,Brooklyn,438,7,No,44818,40650000,28500,480,Corner,M1-4/R7-2,,,,G,MIH,4.4,125400,324
Sunnyside,Queens,1321,"7, 10",No,44817,2050000,4000,40,Interior ,R7A,,C2-3,,,MIH,4.6,18400,111
Old Astoria,Queens,573,11,No,44813,4750000,9083,45.4,Interior ,R6A,R6B,,,,,3.00/2.00,22708,209
Parkchester,The Bronx,3933,84,No,44812,1525000,5150,50,Interior,R6,,C1-2,,,,2.2,11330,135
Bedford-Stuyvesant,Brooklyn,1986,21,No,44812,1255000,2163,19.67,Interior,R6B,,,,,,2,4074,308
Jamaica,Queens,9998,109,No,44806,1135000,2000,20,Interior ,C6-3 ,,,,DJ,,8,13492,84
Sunset Park,Brooklyn,845,48,No,44805,1500000,3005,30,Interior,M1-2,,,,,,2,9066,165
South Slope,Brooklyn,885,"65, 66",Yes,44803,2920000,4942,50,Interior,R6B,,,,,,2,9835,297
Boerum Hill,Brooklyn,167,"26, 16",Yes,44798,2550000,15685,,Corner ,C6-4,,,,DB,,10,156850,163
Old Astoria,Queens,505,"14, 24, 25, 26",Yes,44798,25500000,37117,542.38,Corner,R7A,R5B,C1-3,,,VIH,3.45/1.35,116125,215
Midwood,Brooklyn,6779,1,No,44798,25000000,23579,352.46,Corner,R5B,C4-4A,C1-2,,,,4.00/1.35,63632,351
Long Island City,Queens,460,1,No,44798,22349478,4377,136.51,Corner,M1-4 ,,,,,,2,5916,431
Williamsburg,Brooklyn,2421,24,No,44797,4000000,3743,,Corner ,R6,,,,,,3,11181,358
Brighton Beach,Brooklyn,8664,415,No,44795,2300000,4435,,Corner ,R6,,,,,,2.2,11029,129
Borough Park,Brooklyn,5696,14,No,44795,1425000,4007,,Interior,R5,,,,,,1.65,4569,503
Flushing,Queens,5032,18,No,44789,8600000,12236,259.23,Corner,R6A,R4-1,C2-2,,,,3,35186,244
Downtown Brooklyn,Brooklyn,121,"33, 32",Yes,44789,3650000,4441,50,Interior,R6B,,,,,,2,8683,420
Borough Park,Brooklyn,5733,36,No,44784,4330000,16000,,Corner ,M1-1 ,R5B,,,,,1,16000,271
Williamsburg,Brooklyn,2238,41,No,44784,6300000,5001,50,Interior,R6A,,,,,VIH,2.7,13325,473
Gravesend,Brooklyn,6915,44,No,44783,2250000,10150,221.95,Corner,R5,,,,,,1.25,12688,177
Rego Park,Queens,3075,24,No,44776,144374697,12196,121.95,Interior ,R7-1 ,,C1-2,,,,4,57903,228
Downtown Brooklyn,Brooklyn,149,"14, 15, 17, 19, 22",Yes,44776,13185150,46578,597.6,Corner,C6-4.5,,,,,,10,551693,262
Sheepshead Bay,Brooklyn,7468,80,No,44770,1125000,10533,63.75,Interior,R4,,,,,,0.75,7900,142
Long Island City,Queens,402,"30, 32",Yes,44769,19000000,17510,79.75,Interior ,R7X,,M1-3,,LIC,VIH,3.75,65663,289
Downtown Brooklyn,Brooklyn,271,45,No,44768,11250000,3333,33.33,Interior,C5-4,,,,DB,VIH,10,33330,338
Corona,Queens,1737,30,No,44764,2925000,5000,50,Interior ,R6A,,C1-4,,,,3,15000,195
Long Island City,Queens,80,4,No,44762,68325000,17820,341.66,Corner,C5-3,,,,LIC,VIH,15,267300,256
Bayside,Queens,6186,38,No,44762,1730000,11876,160.9,Corner,R2A,,,,,,0.5,5938,291
Fordham,The Bronx,3156,"67, 68",Yes,44761,2550000,7303,50,Interior,R8,,,,,,6.02,43964,58
Elmhurst,Queens,1503,48,No,44761,1399000,2472,25.75,Interior ,R7B,,,,,,3,7416,189
Ridgewood,Queens,3540,"1, 20, 22",Yes ,44742,26000000,81119,807.5,Corner,M1-4 ,,,,,,2,162238,160
Jamaica,Queens,9993,22,No,44741,1500000,1740,20.25,Interior ,C6-3 ,,,,DJ,VIH,8,13920,108
East Williamsburg,Brooklyn,2916,8,No,44740,2600000,12625,,Corner ,R7A,,C2-4,,,VIH,3.45,43556,224
Midwood,Brooklyn,6592,41,No,44740,9750000,4000,,Interior,C8-2,,,,OP,,2,8000,325
Old Astoria,Queens,539,"32, 33",Yes,44733,7700000,6831,86,Interior ,R7X,,C2-3,,,,5,33837,228
East New York,Brooklyn,4154,28,Yes,44728,9280000,38991,,Corner ,C4-4D,,,,EC-5,MIH,7.2,280735,33
Greenpoint,Brooklyn,2482,"9, 53",Yes,44728,15129834,19600,210.1,Through,M1-2/R6,,,,MX-8,VIH,2.7,70000,216
Greenpoint,Brooklyn,2727,47,No,44726,1700000,3741,60.67,Interior,R6,M1-2/R6A,,,MX-8,VIH,2.67,8191,208
Greenpoint,Brooklyn,2495,12,No,44726,1750000,2500,,Interior ,R6B,,,,,,2,4999,350
Jamaica,Queens,9693,60,No,44725,5320000,13675,75,Interior ,R7A,,,,DJ,,4,46533,114
Flatbush,Brooklyn,5084,38,No,44722,6612245,8500,50,Interior,R7-1,,,,,,3.37,28605,231
Kips Bay,Manhattan,885,19,No,44722,7075000,2469,124.69,Corner,C6-2A,,,,,,5.48,13526,523
Kingsbridge,The Bronx,3254,72,No,44721,1725000,7325,173.42,Corner,R6A,,,,,,3,21611,80
Williamsburg,Brooklyn,2404,1,No,44721,9000000,7500,175,Corner,R6,,,,,VIH,3.05,22874,393
Maspeth,Queens,2444,"57, 8",Yes ,44720,5900000,11950,128.57,Through,R7X,,C2-3,,,VIH,3.75,44813,132
Tremont,The Bronx,2953,6,No,44719,1500000,6750,75,Interior,R7-1,,,,,,3.39,32024,47
Elmhurst,Queens,2906,"28, 27",Yes ,44718,1190000,5000,50,Interior ,R4,,,,,,0.75,3750,317
Long Island City,Queens,382,"30, 29",No,44714,28625000,26307,276.82,Corner,R7X,,M1-3,,LIC,VIH,3.75,98651,290
Coney Island,Brooklyn,7018,42,No,44712,1000000,26502,,Corner ,R5,,C1-2,,,,1.25,33128,130
East Flatbush,Brooklyn,4611,13,No,44712,4300000,3050,30.5,Interior,R6,,C1-3,,,,2.2,6710,149
Long Island City,Queens,188,43,No,44712,10380000,10000,200,Corner,R7A,,C1-4,,,VIH,3.45,34500,301
Sunset Park,Brooklyn,5802,"1, 82",Yes,44707,32000000,59430,540,Corner,M1-2,,,,,,2,118860,180
Red Hook,Brooklyn,523,"13, 1",Yes,44707,21400000,60000,800,Corner,R6,,,,,,2.2,132000,242
Belmont,The Bronx,3091,87,No,44706,1800000,11160,223.17,Corner,C4-5D,,,,,VIH,4.2,80009,31
Kingsbridge Heights,The Bronx,3253,"85, 86",Yes,44706,2500000,9885,105,Interior,R6,,,,,,2.2,21747,83
Fordham,The Bronx,3183,1,No,44705,2900000,4468,142,Corner,R8A,,C1-4,,J,,6.02,26897,110
Prospect Heights,Brooklyn,1153,"70, 1",Yes,44705,2950000,8726,41.09,Corner,R6B,,,,,,2,17452,166
Gowanus,Brooklyn,1051,39,No,44704,5794986,6886,176.43,Corner,R8A,,C2-4,,EC1,VIH,5.4,36813,156
Bedford-Stuyvesant,Brooklyn,1800,33,No,44704,1725000,4000,, Interior ,R6B,,,,,,2,7956,217
Bedford-Stuyvesant,Brooklyn,1927,62,No,44700,1500000,2240,28,Interior,R7A,R6B,C2-4,,,VIH,3.45,6800,221
Jamaica,Queens,9995,"1, 7, 14, 18",Yes ,44699,11000000,35548,802,Corner,C6-3 ,,,,DJ,VIH,6,213288,91
Maspeth,Queens,2519,100,No,44699,19328207,49608,516.4,Corner,M3-1,,,,,,2,99216,111
Fresh Meadows,Queens,6891,13,No,44699,2818000,9500,93,Through,R3-2,,C2-2,,,,0.5,4750,593
Hunts Point,The Bronx,2769,102,No,44698,1850000,13400,125,Through,M1-2 ,,,,HP,,2,26800,136
Long Island City,Queens,566,39,No,44698,3640000,2800,25,Interior ,R6A,,C1-4,,,,3,8400,220
Westchester Village,The Bronx,4139,106,No,44694,5750000,31422,231.5,Corner,M1-1 ,,,,,,1,37777,152
Mount Hope,The Bronx,2805,"48, 49",Yes,44693,1450000,9375,75,Interior,R8,,,,C,,6,56299,44
Westchester Village,The Bronx,3974,1,No,44693,3600000,1390838,164.34,Corner,R6,,C2-4,,,,3,19752,70
Rego Park,Queens,3096,"75, 76",Yes ,44693,1615000,5180,80,Through,R7-1 ,,,,,,3.44,17819,202
Sunset Park,Brooklyn,646,68,No,44693,2481188,2504,25,Interior,R6B,,,,,,2,5008,290
Borough Park,Brooklyn,5380,30,No,44693,1390838,2404,,Interior,R5,,,,,,1.25,3005,537
Downtown Brooklyn,Brooklyn,107,48,No,44691,12800000,6900,50,Interior,C6-2,,,,,,7.2,49673,258
Hudson Yards,Manhattan,735,"25, 27, 30, 35",Yes,44691,48000000,17318,367.58,Corner,C1-7A,,,,HY,,6.02,104254,460
Mount Hope,The Bronx,2828,1,No,44690,90088200,7500,75,Corner,R8,,,,,,6.02,52359,79
Flatbush,Brooklyn,5135,"53, 14",Yes,44690,4125000,187527,911.9,Through,C4-2,,,,,,3.4,637592,141
Bushwick,Brooklyn,3248,18,No,44687,1119500,2500,25,Interior,R6,,,,,,2.2,5497,204
East New York,Brooklyn,3662,49,No,44686,1550000,5625,75,Interior,C4-4L,,,,EC6,MIH,4.6,25875,60
Hunters Point,Queens,28,4,No,44686,2900000,2500,25,Interior ,R6A,,C1-5,,LIC,,3,7394,392
Gowanus,Brooklyn,1025,43,No,44685,1800000,4598,144.87,Corner,M2-1,,,,,,2,9196,196
Ridgewood,Queens,3466,"64, 65",Yes,44684,5450000,4716,41,Interior ,C4-3A,,,,,,3,14148,177
Williamsburg,Brooklyn,2772,"14, 15",Yes,44684,15000000,4240,50.75,Interior,R7A,,,,,VIH,4.59,19458,280
Hell's Kitchen,Manhattan,1064,58,No,44684,2500000,7531,75,Interior ,C6-2,,,,CL,,4.2,31630,474
Foxhurst,The Bronx,2974,"30, 131, 132",Yes,44683,2300000,8750,87.5,Interior,R7-1,,,,,,3.44,30100,76
Hell's Kitchen,Manhattan,1058,38,No,44683,1685000,1369,18.75,Interior ,R8,,,,CL,,4.2,5634,299
Mount Eden,The Bronx,2838,1,No,44679,4150000,8125,175,Corner,R8A,,C1-4,,J,,6.02,48913,85
East New York,Brooklyn,3976,65,No,44679,1800000,5000,50,Interior,R5B,,,,,,1.35,6720,342
Long Island City,Queens,28,6,No,44679,2300000,2500,25,Interior ,M1-4,,,,,,2,5000,360
East Bronx,The Bronx,4797,23,No,44678,3200000,28394,489.07,Corner,R4,,,,,,0.75,21296,150
South Slope,Brooklyn,1102,4,No,44677,1899735,2446,25,Interior,R6A,,C2-4,,,,3,7339,259
Borough Park,Brooklyn,5458,73,No,44677,1700000,2003,20,Interior,R6,,,,,,2.2,4407,386
Belmont,The Bronx,3113,6,No,44669,1500000,6693,50,Interior,R7-1 ,,,,,,3.44,22877,66
Williamsburg,Brooklyn,2756,"42, 41",Yes,44666,3100000,3038,51.41,Interior,R7A,,C2-4,,,VIH,4,12152,255
Foxhurst,The Bronx,2715,1,No,44665,24675000,7006,250.8,Corner,R7-1 ,,C2-4,,,,4.00/3.44,33661,74
East Harlem,Manhattan,1633,38,No,44665,2850000,2525,25.25,Interior ,R9,,C2-5,,EHC,MIH,9,22725,125
Downtown Flushing,Queens,4963,65,No,44665,2500000,131179,181.72,Interior ,C4-2,,,,,,3.4,664279,156
Maspeth,Queens,"2525, 2526","30, 55, 50",Yes ,44665,103750000,56554,343.6,Interior ,M3-1,,,,,,2,113108,218
Bedford-Stuyvesant,Brooklyn,1775,32,No,44664,1290000,2200,22,Interior,R6B,,,,,,2,4395,293
Mott Haven,The Bronx,2577,"63, 61, 60",Yes,44659,3448000,12308,223.1,Corner,R7-1 ,,,,,,3.44,42340,81
Flatbush,Brooklyn,5199,37,No,44658,5000000,5900,,Corner,R7A,,,,,VIH,3.45,20355,246
Jamaica,Queens,10027,"8, 10, 11, 12, 13, 14, 36",Yes ,44657,7000000,16291,267.75,Through,C4-5X,,,,DJ,VIH,3.75,61091,115
Homecrest,Brooklyn,7296,"60, 61, 36",Yes,44657,1300000,4200,110,Interior ,R5,,,,,,1.25,5250,248
Fordham,The Bronx,3277,8,No,44651,1110000,5000,50,Interior,R7B,R7D,C2-4,,,VIH,3,15000,74
Lower East Side,Manhattan,247,2,No,44651,78000000,31341,285,Interior ,C6-4,,,,,,10,313410,249
Gravesend,Brooklyn,7127,"4, 70",Yes,44651,8453700,9824,2000,Corner,R6A,,,,OP,,3,29472,287
Longwood,The Bronx,2363,12,No,44650,1400000,4250,177,Corner,C4-4,,,,,,4,17000,59
Bushwick,Brooklyn,3155,"24, 25",Yes,44650,1000000,3130,55.66,Interior,R6,,,,,,3,9390,181
Middle Village,Queens,3794,"46, 47",Yes ,44650,1580000,7500,75,Interior ,M1-1 ,,,,,,1,7500,187
Prospect Heights,Brooklyn,1154,29,No,44650,1700000,1820,33.43,Interior,R6A,,C2-4,,,,2.87,5213,303
Borough Park,Brooklyn,5733,"64, 63",Yes,44649,1900000,6000,60,Interior,R5B,,,,,,1.32,7937,239
Sunnyside,Queens,164,11,No,44649,11000000,13035,235,Corner,C4-4A,,,,,VIH,3.45,44971,245
Hunters Point,Queens,54,"4, 5, 45",Yes,44648,14240000,13425,239.72,Corner,R6A,,C1-5,,LIC,,3,40275,354
Borough Park,Brooklyn,5485,35,No,44648,2700000,4232,42.25,Interior,R5,,,,,,1.25,5290,510
Downtown Flushing,Queens,4954,"24, 59",Yes,44644,3640000,13212,17.2,Interior ,R5D,,,,,,2,36252,29
Allerton,The Bronx,4430,24,No,44644,1050000,7500,175.03,Corner,R6,,C2-3,,,,3,22500,84
Boerum Hill,Brooklyn,198,46,No,44644,1900000,2500,25,Interior,C4-4D,,,,G,,4.22,10552,345
Williamsburg,Brooklyn,3100,34,No,44642,10514327,18492,184.96,Interior,M1-2,,,,,,8.23,152257,69
Greenpoint,Brooklyn,2559,"45, 46",Yes,44642,3625000,5000,,Interior,R6B,,C2-4,,,,2,10000,363
Williamsburg,Brooklyn,2780,1,No,44642,42500000,27500,375,Corner,C4-4A,,,,,VIH,3.44,93259,456
Gravesend,Brooklyn,6869,37,No,44641,4200000,5100,150,Corner,C8-2,,,,,,2,10200,412
Ridgewood,Queens,3380,"9, 11",Yes ,44638,2150000,4750,50.04,Interior ,R6B,,,,,,2,9500,226
Old Astoria,Queens,901,21,No,44638,1325000,5490,45,Interior ,R4,R5,,,,,0.75/1.25,4828,274
Mott Haven,The Bronx,2323,43,No,44637,16125000,38344,655,Corner,R7-2,,C2-4,,HRW,VIH,3,115032,140
East New York,Brooklyn,3965,11,No,44636,7500000,18111,381.63,Corner,R8A,,C2-4,,EC-5,MIH,7.2,130399,58
Bedford-Stuyvesant,Brooklyn,1714,30,No,44636,4500000,9280,207.58,Corner,M1-1,R7D,,,,VIH,5.6,60617,74
Hunters Point,Queens,436,"10, 1",Yes ,44636,176000000,80883,825.5,Corner,R10,,M1-6,,LIC,,12,934864,188
Gravesend,Brooklyn,7315,"73, 173",Yes,44635,3900000,10046,,Interior ,R6A,,C2-3,,,,3,30138,139
Park Slope,Brooklyn,932,6,No,44635,4200000,1745,19.75,Interior,C4-4D,,,,,,8.5,14833,263
Corona,Queens,1957,12,No,44634,1600000,4000,40,Interior ,R6B,,,,,,2,7982,200
Hunters Point,Queens,60,"5, 19",Yes ,44634,4500000,3085,50,Through,R7X,,C2-5,,LIC,,5,15425,292
Greenpoint,Brooklyn,2599,25,No,44634,2000000,1875,100,Corner,R7A,,,,,VIH,3.11,5827,343
East New York,Brooklyn,3723,"15, 20, 22, 23, 26",Yes,44631,1625000,15331,,Interior ,R5B ,,,,,,1.35,20697,79
Ridgewood,Queens,3578,"53, 55",Yes ,44631,2800000,7500,75,Interior ,M1-4D,,,,,,2,15000,187
Midwood,Brooklyn,7575,2,No,44630,1325000,2062,20,Interior,R6,,C2-2,,,,3,6186,214
Gowanus,Brooklyn,462,"12, 14",Yes,44629,58000000,52534,750.26,Corner,M1-4,R7-2,,,,,5,266018,218
Bayside,Queens,6300,34,No,44628,1400000,2840,25,Interior ,R6B,,C1-2,,,,2,5680,246
Jamaica,Queens,10319,20,No,44624,14000000,5200,50,Interior ,M1-2 ,,,,,,2,10400,144
Hell's Kitchen,Manhattan,1034,"55, 56",Yes,44624,1500000,7510,75,Interior ,C6-2,,,,CL,,4.2,31542,444
Norwood,The Bronx,3329,52,No,44623,18050000,5000,50,Interior,R7-1,,C2-3,,,,4,20000,60
Manhattanville,Manhattan,2001,110,No,44623,1200000,7603,60.83,Interior ,C6-2,,,,MMU,,6,74462,242
Bedford-Stuyvesant,Brooklyn,1842,15,No,44622,2080000,42700,180,Through,R6B,C4-5D,,,,,3.66,163708,205
Ditmars Steinway,Queens,896,"215, 213, 212, 211",Yes,44622,4500000,13198,240,Interior ,R5D,,,,,,1.35,17817,253
Greenpoint,Brooklyn,2559,7505,No,44622,33601603,2420,25,Interior,R6A,,C2-4,,,,2.93,7100,293
Fordham,The Bronx,3156,57,No,44621,1775000,2310,115.83,Corner,R8,,,,,,6.02,39274,45
Bedford-Stuyvesant,Brooklyn,1970,"31, 32",Yes,44620,4150000,7275,72.75,Interior,R6A,R6B,,,,,2.00/3.00,17100,243
Gowanus,Brooklyn,462,6,No,44617,21600000,20377,220,Through,M1-4 ,R7-2,,,G,MIH,4.4,99031,218
Norwood,The Bronx,3334,"38, 37",Yes,44616,1600000,7500,76,Interior,R6B,,,,,,2,14872,108
Sunnyside,Queens,312,272,No,44616,9500000,33000,237.7,Interior ,M3-1,,,,,,2,66000,144
Tremont,The Bronx,2918,"34, 31, 32, 29",Yes,44615,5150000,26674,370.46,Corner,M1-4/R7A,,,,MX-14,VIH,3.45,92025,56
Williamsburg,Brooklyn,2738,"3, 2",Yes,44609,19300000,5000,50,Interior,M1-2 ,R6,,,MX-8,VIH,2.69,13463,140
Madison,Brooklyn,6784,"3, 5",Yes,44609,4500000,8000,80,Interior,R7A,,,,,,4,31893,141
Fort George,Manhattan,2173,"41, 42",Yes,44609,3000000,4424,56.56,Interior ,R7-2,,,,,,3.44,15219,197
Flatbush,Brooklyn,4947,61,No,44609,1450000,4000,40,Interior,R6,,,,,,2.68,5362,270
Lincoln Square,Manhattan,1151,12,No,44609,3650000,7560,75,Interior ,C6-2,,,,,,6.02,44845,430
West Farms,The Bronx,3125,"49, 47, 34, 26, 27, 28, 48, 46",Yes,44608,3094116,14570,377.02,Corner,R7-1,,,,,,3.44,42071,74
Old Astoria,Queens,578,5,No,44608,2300000,11304,25,Interior ,R6A,,,,,,3,11304,203
Greenpoint,Brooklyn,2705,34,No,44608,1350000,2500,25,Interior,R6B,,,,,,2,5000,270
Crown Heights,Brooklyn,1134,"12, 11, 96, 2",Yes,44607,8732296,36650,162.92,Through,M1-4/R7A,,,,MX-20,MIH,4.59,168086,204
South Ozone Park,Queens,11712,"27, 28",Yes ,44607,34373438,22000,129.17,Corner,R3-2,,C2-3,,,,1,22000,397
Flushing,Queens,5021,"19, 21",Yes,44603,23000000,16370,91.83,Interior ,R6,,C2-2,,,,2.2,36014,639
Laconia,The Bronx,4589,45,No,44602,2088888,12929,59,Through,R6B,,C2-3,,,,2,25858,81
Williamsburg,Brooklyn,2313,27,No,44601,2900000,2500,25,Interior,M1-2/R6A,,,,MX-8,VIH,2.7,6744,430
Midtown East,Manhattan,1302,"22, 23",Yes,44600,8500000,2720,34,Interior ,C5-3,,,,MID,,15,40800,208
Prospect Heights,Brooklyn,1130,"46, 47, 48",Yes,44599,1370999,6103,73.9,Interior,R6B,,,,,,1.44,8752,157
Fordham,The Bronx,3026,55,No,44596,6425000,8068,75,Interior,R7-1,,C2-4,,,,4.00/3.44,31954,88
Bay Ridge,Brooklyn,5997,7,No,44596,2800000,10933,209.33,Corner,R6B,,,,BR,,2,21859,294
Old Astoria,Queens,914,"11, 15, 17, 18, 19, 20, 21, 22, 23, 25, 27",Yes,44595,19975000,42896,480.94,Corner,R6,,,,,,2.2,111862,179
Brighton Beach,Brooklyn,8665,533,No,44593,2600000,6400,,Corner ,R6,,,,OP,,2.2,14059,185
Greenpoint,Brooklyn,2701,13,No,44592,1442350,2236,25,Interior,R6B,,,,,VIH,1.99,4463,323
Fairmont Claremont Village,The Bronx,2980,23,No,44589,1000000,5000,50,Interior,R7-1,,C2-4,,,,4,19021,53
Hudson Heights,Manhattan,2180,"27, 62, 63, 64",Yes,44589,6300000,45971,197.29,Through,R7-2,,,,,,3.44,158140,76
Whitestone,Queens,4524,"60, 67",Yes ,44589,12000000,31600,359,Corner,M1-1 ,,,,,,1,31600,199
Hunters Point,Queens,85,"11, 17",Yes ,44588,18700000,12500,225,Interior ,R7-3,M1-5,,,LIC,,5,80199,233
Melrose,The Bronx,2380,"36, 35",Yes,44586,2215000,5091,50,Interior,R8 ,R7-2,C1-4,,,,6.02.3.44,34092,65
Riverdale,The Bronx,5796,127157,Yes,44586,6500000,22883,107.73,Through,R6,,C1-2,,,,3.00/2.20,64984,100
Williamsburg,Brooklyn,3076,18,No,44586,53882087,45537,447.7,Corner,C4-4,,,,,,5.62,297251,181
Long Island City,Queens,414,"5, 11, 13, 35, 41, 117, 121",Yes,44585,25679111,9404,683,Through,R9,,M1-5,,LIC,,8,93514,275
Turtle Bay,Manhattan,1342,"3, 4, 48, 49, 50, 51, 153",Yes,44585,41700000,16858,263.92,Corner,C1-9,,,,,,10,115083,362
Flatbush,Brooklyn,4853,41,No,44581,3400000,9350,50,Interior,R7-1,,,,,,3.44,32164,106
Belmont,The Bronx,3042,"22, 13, 28",Yes,44580,14000000,35612,501.19,Corner,C4-5X,,,,,VIH,3.45,191550,73
Fordham,The Bronx,3183,"44, 43",Yes,44579,5000000,5075,,Interior,R8,,,,,,6.02,23473,99
Flatbush,Brooklyn,5207,50,No,44579,2325000,6850,91.29,Interior,R7A,,,,,,3.99,27575,189
Williamsburg,Brooklyn,2237,57,No,44579,5205000,5158,51.58,Interior,R6,,,,,,3,15474,323
Bay Ridge,Brooklyn,5949,71,No,44579,1685000,6560,60,Interior,R4A,,,,BR,,0.75,4920,342
Greenpoint,Brooklyn,2612,"140, 143",Yes,44575,13000000,90440,,Interior ,M3-1,,,,,,2,180880,166
SoHo,Manhattan,476,56,No,44575,30000000,2725,29,Interior ,M1-5/R10,,,,SNX,MIH,12,32700,398
Port Morris,The Bronx,2260,"10, 19",Yes,44574,35000000,50625,640,Corner,M1-5/R8A,,,,MX-1 ,,6.02,316072,111
Lenox Hill,Manhattan,1452,27,Yes,44567,73500000,10050,200.5,Corner,C2-8 ,,,,,,10,189627,388
Fresh Meadows,Queens,6740,"1, 6",Yes ,44566,6000000,20000,400,Corner,R5B,,C2-3,,,,1.35,27000,222
Port Morris,The Bronx,2278,"1, 9",Yes,44564,8425000,20333,298.33,Corner ,M1-2/R6A,,,,MX1,,3,60999,138
Mount Hope,The Bronx,2853,"12, 15",Yes,44560,5450000,13521,126.5,Interior,C4-4D,,,,J,MIH,7.2,97351,56
East New York,Brooklyn,3674,"45, 43, 42, 41",Yes,44560,4517000,10992,135,Corner,R8A,,C2-4,,EC-5,MIH,7.2,79142,57
